bulan_m3;cif_m3;flag_m3;dana_m3;transfer_bni_m3;withdrawal_m3;transfer_antarbank_m3;isi_pulsa_m3;ovo_m3;gopay_m3;linkaja_m3;listrik_m3;shopeepay_m3;multifinance_m3;virtual_account_bni_m3;pajak_m3;pdam_m3;antarbank_m3;insurance_m3;mobiletunai_m3;paket_data_m3;bpjs_m3;pegadaian_m3;tiket_kai_m3;isaku_m3;kartu_kredit_bni_m3;government_m3;pendidikan_m3;zis_qurban_m3;charity_m3;internet_m3;tapcash_m3;unmap_m3;dana_pensiun_m3;credit_card_m3;kliring_m3;bulan_m2;cif_m2;flag_m2;dana_m2;transfer_bni_m2;withdrawal_m2;transfer_antarbank_m2;isi_pulsa_m2;ovo_m2;gopay_m2;linkaja_m2;listrik_m2;shopeepay_m2;multifinance_m2;virtual_account_bni_m2;pajak_m2;pdam_m2;antarbank_m2;insurance_m2;mobiletunai_m2;paket_data_m2;bpjs_m2;pegadaian_m2;tiket_kai_m2;isaku_m2;kartu_kredit_bni_m2;government_m2;pendidikan_m2;zis_qurban_m2;charity_m2;internet_m2;tapcash_m2;unmap_m2;dana_pensiun_m2;credit_card_m2;kliring_m2;bulan_m1;cif_m1;flag_m1;dana_m1;transfer_bni_m1;withdrawal_m1;transfer_antarbank_m1;isi_pulsa_m1;ovo_m1;gopay_m1;linkaja_m1;listrik_m1;shopeepay_m1;multifinance_m1;virtual_account_bni_m1;pajak_m1;pdam_m1;antarbank_m1;insurance_m1;mobiletunai_m1;paket_data_m1;bpjs_m1;pegadaian_m1;tiket_kai_m1;isaku_m1;kartu_kredit_bni_m1;government_m1;pendidikan_m1;zis_qurban_m1;charity_m1;internet_m1;tapcash_m1;unmap_m1;dana_pensiun_m1;credit_card_m1;kliring_m1;bulan_m0;cif_m0;flag_m0;dana_m0;transfer_bni_m0;withdrawal_m0;transfer_antarbank_m0;isi_pulsa_m0;ovo_m0;gopay_m0;linkaja_m0;listrik_m0;shopeepay_m0;multifinance_m0;virtual_account_bni_m0;pajak_m0;pdam_m0;antarbank_m0;insurance_m0;mobiletunai_m0;paket_data_m0;bpjs_m0;pegadaian_m0;tiket_kai_m0;isaku_m0;kartu_kredit_bni_m0;government_m0;pendidikan_m0;zis_qurban_m0;charity_m0;internet_m0;tapcash_m0;unmap_m0;dana_pensiun_m0;credit_card_m0;kliring_m0
202304;10346158754;NON STAR;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202303;10346158754;NON STAR;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10346158754;NON STAR;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10346158754;NON STAR;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202304;10344861782;NON STAR;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;202304;10344861782;NON STAR;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10344861782;NON STAR;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202304;10344878435;NON STAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202303;10344878435;NON STAR;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10344878435;NON STAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10344878435;NON STAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202304;10343994735;NON STAR;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202303;10343994735;NON STAR;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10343994735;NON STAR;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10343994735;NON STAR;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202304;10346270050;NON STAR;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202303;10346270050;NON STAR;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10346270050;NON STAR;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10346270050;NON STAR;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202304;10346810247;NON STAR;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202303;10346810247;NON STAR;0;16;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10346810247;NON STAR;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10346810247;NON STAR;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202304;10346854784;NON STAR;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;202304;10346854784;NON STAR;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
202304;10347161073;NON STAR;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202303;10347161073;NON STAR;0;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10347161073;NON STAR;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10347161073;NON STAR;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202304;10347304976;NON STAR;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;202304;10347304976;NON STAR;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10347304976;NON STAR;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202304;10345987294;NON STAR;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202303;10345987294;NON STAR;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10345987294;NON STAR;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202304;10345987294;NON STAR;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
